No.;var00001;Substituent;Backbone length;Backbone;Substitution energy;homo;lumo;pa;homo2;lumo2;pa2;he.w.pn;nhe;be.gla;ml.gla;dmd.gla;d.d1rgla;d.d2rgla;drd1rgla;drd2rgla;nbo.glaf;be.pd;ml.pd;dmd.pd;d.d1r.pd;d.d2r.pd;d.rd1rpd;d.rd2rpd;nbo.pd.f;dppd.d1;dppd.d2;dpzn.d1;dpzn.d2;kmeansPCA;hiePCA;kmeansUMAP;hieUMAP;kmeansTSNE;hieTSNE;kmeansUMAP(n10);hieUMAP(n10);kmeansUMAP(n15);hieUMAP(n15);;;;;;;;;;;;;;;;;;
16;2;CF3;4;B;-12.48;-0.2508;-0.0332;197.71;-0.2508;-0.0332;197.71;11.563;10.8589;16.4318;2.226;76;-0.005;-0.005;2.9;3;-0.057;74.4661;2.348;87.3;-0.001;0;4.5;4.4;-0.6321;-0.012;-0.012;0.079;0.066;4;3;3;2;0;5;1;3;3;3;;;;;;;;;;;;;;;;;;
17;5;NMe2;4;B;-23.42;-0.1642;0.0236;240.51;-0.1642;0.0236;240.51;16.3076;16.0171;37.4126;2.278;82.5;-0.022;-0.021;3.2;3.2;-0.1191;95.0333;2.388;86.3;-0.024;-0.024;2.4;2.4;-0.7942;0.031;0.032;-0.052;-0.054;3;2;2;4;1;1;4;4;4;0;;;;;;;;;;;;;;;;;;
18;3;Ph;4;B;-15.86;-0.189;-0.0477;239.2;-0.189;-0.0477;239.2;17.075;16.0535;34.8937;2.274;81.8;-0.016;-0.016;4.1;4.1;-0.1073;94.4008;2.383;87.5;-0.014;-0.015;4;4;-0.7801;0.028;0.027;-0.037;-0.036;0;1;4;0;3;1;0;1;2;4;;;;;;;;;;;;;;;;;;
19;2;C6F5;4;B;-9.14;-0.21657;-0.07767;222.356;-0.21657;-0.07767;222.356;16.0083;15.4128;23.1166;2.696;80;-0.017;-0.018;2.4;2.5;-0.0709;80.6458;2.371;87.5;-0.015;-0.015;3.1;3.1;-0.7096;-0.003;-0.002;0.031;0.021;5;0;1;3;5;2;2;5;5;1;;;;;;;;;;;;;;;;;;
20;3;o-Tol;4;B;-7.15;-0.18524;-0.0467;240.856;-0.18524;-0.0467;240.856;23.3476;22.0663;31.7305;2.283;84;-0.013;-0.016;5.9;6;-0.1025;85.1181;2.382;88.6;-0.011;-0.009;5.1;5.7;-0.7606;0.052;0.025;-0.029;-0.06;0;1;4;0;3;4;0;1;2;4;;;;;;;;;;;;;;;;;;
21;3;p-Tol;4;B;-16.57;-0.18192;-0.04288;243.279;-0.18192;-0.04288;243.279;17.0305;16.2053;35.9618;2.282;82.5;-0.015;-0.014;3.5;4;-0.1145;95.5347;2.384;87.7;-0.015;-0.014;3.2;3.6;-0.7911;0.029;0.028;-0.041;-0.046;1;1;4;0;3;1;0;1;2;4;;;;;;;;;;;;;;;;;;
22;3;p-CF3-Ph;4;B;-15.09;-0.20834;-0.0767;228.712;-0.20834;-0.0767;228.712;16.4877;16.2066;31.9852;2.269;82.1;-0.011;-0.018;2.9;4;-0.0923;91.0355;2.376;87.3;-0.009;-0.023;2.8;3.9;-0.7612;0.026;0.017;-0.034;-0.036;0;0;0;1;5;2;5;0;5;1;;;;;;;;;;;;;;;;;;
23;1;Me;5;C;-18.81;-0.1905;0.0327;233;-0.1905;0.0327;233;21.9514;15.9066;38.0256;2.29;93.8;-0.021;-0.019;4.4;4.2;-0.1398;102.1;2.389;97.5;-0.027;-0.025;4.7;4.5;-0.8336;0.011;0.011;-0.111;-0.111;3;2;2;4;1;1;4;4;4;0;;;;;;;;;;;;;;;;;;
24;1;tBu;5;C;-8.86;-0.1788;0.0225;245.67;-0.1788;0.0225;245.67;44.6321;38.5892;39.7839;2.308;97.8;-0.011;-0.007;1.8;2.4;-0.1147;91.7659;2.393;100.6;0;0.001;0.3;0.9;-0.759;0.086;0.076;-0.034;-0.055;1;5;2;0;4;0;3;0;1;2;;;;;;;;;;;;;;;;;;
25;4;OMe;5;C;-23.89;-0.2013;0.0043;227.36;-0.2013;0.0043;227.36;16.3666;12.9159;34.8285;2.275;87.1;-0.028;-0.029;2.8;3.3;-0.1661;98.5267;2.383;95.3;-0.038;-0.037;2.3;3;-0.8498;0.011;-0.002;-0.053;-0.062;3;2;2;4;2;3;4;4;4;0;;;;;;;;;;;;;;;;;;
